Word,Weight
ABASH,0.5
ABLED,1.0
ABODE,1.0
ABOIL,0.5
ABORT,1.0
ABUSE,1.0
ABUZZ,0.5
ACHED,0.5
ACHOO,0.5
ACING,0.5
ACTED,0.5
ADDED,0.5
ADDER,0.5
ADDLE,0.5
ADIEU,0.5
ADIOS,0.5
ADOBO,0.5
ADORN,1.0
AEGIS,0.5
AERIE,0.5
AFIRE,1.0
AFOOT,1.0
AFORE,0.5
AFOUL,1.0
AGAVE,0.5
AGITA,0.5
AGORA,0.5
AHOLD,0.5
AIDED,0.5
AIDER,1.0
AILED,0.5
AIMED,0.5
AIOLI,0.5
AIRED,0.5
ALDER,0.5
ALGAE,1.0
ALIAS,0.5
ALIBI,1.0
ALIGN,1.0
ALLAY,1.0
ALLEY,1.0
ALLOY,1.0
ALOHA,0.5
AMARO,0.5
AMAZE,1.0
AMBIT,0.5
AMEND,1.0
AMIGO,0.5
AMINO,0.5
AMITY,1.0
AMOUR,0.5
AMPED,0.5
AMPLY,1.0
AMUCK,0.5
ANCHO,0.5
ANIMA,0.5
ANIME,1.0
ANISE,0.5
ANKLE,1.0
ANNAL,0.5
ANNUL,1.0
ANOLE,0.5
ANTSY,0.5
APACE,0.5
APING,1.0
APNEA,1.0
ARCED,0.5
ARENA,1.0
ARGON,0.5
ARGOT,0.5
ARMED,0.5
ARMOR,1.0
AROSE,1.0
ARRAY,1.0
ARSON,1.0
ASHED,0.5
ASKED,0.5
ASKER,0.5
ASPEN,0.5
ASPIC,0.5
ASTER,0.5
ASTIR,0.5
AUGER,0.5
AUGUR,1.0
AUNTY,1.0
AURAL,0.5
AVAST,0.5
AVIAN,1.0
AXIAL,1.0
AXING,0.5
AXION,1.0
BABEL,0.5
BABKA,0.5
BAGGY,1.0
BAKED,0.5
BALDY,0.5
BALED,0.5
BALKY,0.5
BANDY,0.5
BARED,0.5
BARER,0.5
BARRE,0.5
BASAL,1.0
BASED,0.5
BASIL,1.0
BASIS,1.0
BATED,0.5
BATIK,0.5
BAYED,0.5
BEBOP,0.5
BEECH,1.0
BEFIT,1.0
BEFOG,0.5
BEGAN,1.0
BEGAT,1.0
BEGOT,0.5
BEGUN,1.0
BEIGE,0.5
BELAY,0.5
BELLE,1.0
BENDY,0.5
BENTO,0.5
BERRY,1.0
BERYL,0.5
BESOT,0.5
BETEL,1.0
BEZEL,1.0
BIBLE,1.0
BIDDY,1.0
BIDED,0.5
BIDET,0.5
BIGOT,1.0
BIKED,0.5
BIKER,0.5
BILLY,1.0
BINGO,1.0
BIPED,0.5
BIPOD,0.5
BISON,1.0
BITER,0.5
BITSY,0.5
BITTY,1.0
BLASE,0.5
BLESS,1.0
BLIND,1.0
BLING,0.5
BLITZ,1.0
BLOAT,1.0
BLOOD,1.0
BLOOP,0.5
BLUER,1.0
BOBBY,1.0
BOCCE,0.5
BODED,0.5
BOFFO,0.5
BOGEY,0.5
BOGGY,0.5
BOGIE,0.5
BOGUS,0.5
BOING,0.5
BOLUS,0.5
BONED,0.5
BONER,0.5
BONEY,1.0
BONNY,0.5
BOOED,0.5
BOOTH,1.0
BORED,0.5
BORIC,0.5
BORON,0.5
BOSOM,1.0
BOSON,0.5
BOTCH,1.0
BOULE,1.0
BOUND,1.0
BOWED,0.5
BOWEL,1.0
BOWER,0.5
BOXED,0.5
BRAVA,0.5
BRAWL,1.0
BREAM,0.5
BRICK,1.0
BRIER,0.5
BROIL,1.0
BRONC,0.5
BROOD,1.0
BRUIN,0.5
BRUNT,1.0
BRUSK,0.5
BUDGE,1.0
BULGY,0.5
BUMPY,0.5
BURKA,0.5
BURRO,0.5
BURSA,0.5
BURST,1.0
BUSED,1.0
BUSHY,1.0
BUSTY,0.5
BUTCH,1.0
BUTTE,1.0
BUXOM,1.0
BUZZY,0.5
BYLAW,1.0
BYWAY,0.5
CABAL,1.0
CABBY,1.0
CABIN,1.0
CADDY,1.0
CADGE,0.5
CADRE,0.5
CAGED,0.5
CAGEY,1.0
CAIRN,1.0
CAKED,0.5
CALVE,0.5
CAMPY,0.5
CANAL,1.0
CANED,0.5
CAPED,0.5
CAPON,0.5
CAPRI,0.5
CAPUT,1.0
CARED,0.5
CARER,0.5
CARET,0.5
CARNY,0.5
CAROB,0.5
CAROM,0.5
CARTE,0.5
CASED,0.5
CASTE,1.0
CAVED,0.5
CAVIL,1.0
CAWED,0.5
CEDED,0.5
CELEB,0.5
CHAFF,1.0
CHARY,0.5
CHEEP,0.5
CHEMO,0.5
CHESS,1.0
CHEWY,0.5
CHICK,1.0
CHILE,0.5
CHILI,1.0
CHIMP,0.5
CHINA,1.0
CHINO,0.5
CHIVE,0.5
CHOMP,0.5
CHOUX,0.5
CHUCK,1.0
CHUMP,1.0
CHURL,0.5
CHURN,1.0
CILIA,0.5
CITED,0.5
CIVET,0.5
CLACK,1.0
CLADE,0.5
CLAIM,1.0
CLANG,1.0
CLANK,1.0
CLASP,1.0
CLAVE,0.5
CLEAT,1.0
CLIME,0.5
CLOMP,0.5
CLOUT,1.0
CLUED,1.0
CLUMP,1.0
CLUNK,0.5
COATI,0.5
COBRA,1.0
COCKY,0.5
CODED,0.5
CODER,0.5
CODEX,0.5
COLOR,1.0
COMBO,0.5
COMIC,1.0
CONED,0.5
CONGA,0.5
COOED,0.5
COPAY,0.5
COPED,0.5
COPSE,1.0
CORED,0.5
CORGI,0.5
CORKY,0.5
CORPS,0.5
COUCH,1.0
COUGH,1.0
COUPE,1.0
COUTH,0.5
COVEY,1.0
COWED,0.5
COXED,0.5
CRACK,1.0
CRASH,1.0
CREED,1.0
CREEK,1.0
CREEP,1.0
CREMA,0.5
CREME,1.0
CRESS,1.0
CRICK,1.0
CRIED,1.0
CRIER,1.0
CROCK,1.0
CRONY,1.0
CROON,0.5
CROUP,1.0
CRUDE,1.0
CRUET,0.5
CRUMP,1.0
CUBBY,0.5
CUBED,0.5
CUBIT,0.5
CUING,0.5
CUPID,0.5
CURED,0.5
CURER,0.5
CURIA,0.5
CURRY,1.0
CURVY,1.0
CUSHY,0.5
CUTER,0.5
CUTIE,1.0
CUTUP,0.5
CYCLE,1.0
DACHA,0.5
DAFFY,0.5
DAILY,1.0
DAIRY,1.0
DARED,0.5
DATED,0.5
DATER,0.5
DAZED,0.5
DEALT,1.0
DEBAR,1.0
DECAF,0.5
DEFOG,0.5
DEIFY,0.5
